PostalCode,Neighborhood,Jabalpur
483119 ,Shahpura,Jabalpur 
482009 ,Shobhapur,Jabalpur 
482001 ,Simaria,Jabalpur 
483220 ,Singod,Jabalpur 
482005 ,Sonpur,Jabalpur 
482004 ,Subhas Nagar,Jabalpur 
482001 ,Sukha,Jabalpur 
482003 ,Sukha Bharatpur,Jabalpur 
482051 ,Sukri,Jabalpur 
482005 ,Sundarpur,Jabalpur 
483110 ,Supawara,Jabalpur 
482001 ,Surtalai,Jabalpur 
482001 ,T.T.c.,Jabalpur 
482002 ,Telegraph Work shop,Jabalpur 
482001 ,Temarbhita,Jabalpur 
482001 ,Tilsani,Jabalpur 
482003 ,Tilwara Ghat,Jabalpur 
482051 ,Tinsi,Jabalpur 
482003 ,Tripuri,Jabalpur 
483113 ,Udna,Jabalpur 
483220 ,Umaria Choubey,Jabalpur 
483001 ,Umaria Kudari,Jabalpur 
483119 ,Umaria Patan,Jabalpur 
483220 ,Umaria Pathra,Jabalpur 
483220 ,Urdua Kala,Jabalpur 
482009 ,Vehicle Factory,Jabalpur 
482008 ,Vidyut Nagar,Jabalpur 
482002 ,Vijay Nagar colony,Jabalpur 
482002 ,Wright Town,Jabalpur 
